# ------------------------------------------------------
# Last Update: re-verified by Valminder Jan 10, 2012.
# ------------------------------------------------------
# ---------------------------------------------------
# Last Update: modified by Valminder July 12, 2006.
# ---------------------------------------------------
#
# 3rd Edition D&D Random Adventure and 'Game Hook' Generation Table
# by Larry Cormier
#
# HTML-formatted
#
# This Table was designed to generate nearly complete Random Adventures, as
# well as 'Adventure Hooks' that can easily be sprung on your unsuspecting
# characters. The ideas generated by this table can be inserted into the
# middle of an ongoing campaign, or provide inspiration for starting a
# brand new Adventure that can stimulate the creative juices in all of you
# who (like me) enjoy building an adventure 'from scratch' - from a basic
# seed idea!
#
# I've attempted to consolidate several of the Adventure-generation tables
# available from TableSmith, as well as other tables that lent themselves to
# the enhancment of the concept of this table.
#
# Like any Random Generator, some things might not make sense - but then
# again, if you think about it, maybe they DO Make sense - in a deranged sort
# of way! Needless to say, if the situations that are generated by this table
# are just TOO bizarre, tweak it a bit until it DOES make sense... or just
# re-roll.
#
# It's just one more tool to provide ideas for those times when you need a
# spur-of-the-moment adventure fix!
#
# One more thing... I'm not NEARLY finished with this table. I've still got a
# lot of ideas that I want to implement. Look for updates as I implement
# those ideas!
#
# NOTE: This Table calls these other tables as necessary:
#  1, Dungeon Map.tab ===========> Renamed to [MAP Dungeon.tab]
#  2, Caverns2.tab ==============> Renamed to [MAP Cavern.tab]
#  3, Riddles.tab
#  4, Temples.tab ===============> Renamed to [SITE Temples.tab]
#  5, Book Descriptions.tab
#  6, Jewelry.tab
#  7, Gems2.tab
#  8, Ruins.tab =================> Renamed to [SITE Ruins.tab]
#  9, Random Ruins.tab ==========> Renamed to [SITE Ruined City Building.tab]
# 10, Castles.tab
# 11, ENC Short Encounter Generator.tab
# 12, Plot Ideas.tab ============> Renamed to [ADV Plot Ideas.tab]
# 13, Monster Stats.tab
# 14, Random Rumors.tab =========> Already included in [Rumors.tab]
# 15, Rumors.tab
# 16, Sword Descriptions.tab
# 17, Magic Weapon Names.tab
# 18, Town Names.tab
# 19, Miscellaneous.tab
# 20, Creatures.tab
# 21, Wilderness Hooks.tab ======> Renamed to [ENC Wilderness.tab]
# 22, Magical Statues.tab =======> Renamed to [DUN Magical Statues.tab]
# 23, Wilderness Encounters.tab
# 24, NPC Appearance.tab
# 25, Random Tombs.tab ==========> Renamed to [ADV Random Tombs.tab]]
# 26, The Oracle.tab
# 27, ADV Bets Down.tab
# 28, MAP Clearings.tab
# 29, MAP Ruins.tab
# 30, MAP Building.tab
# 31, SITE City Buildings
#
# Modified by Valminder, Dec 2005.
#    Adapted for TSv5.
#    Changed:
#       [Random Rumors.tab] to [Rumors.Rumor] 
#          (Rumors.tab has all the rumors from the other table) 
#    Renamed some tables, as listed above.
#    Added link to:
#       Rumors.Reward1
#
# Updated by Larry Cormier, Dec 2005.
#    Added Link and associated code to use:
#      The Oracle.tab
#    Modified Call to Monster Stats to allow Table to call any of the
#      400+ Monsters Stats available in that table Randomly
#    Added Link to:
#      ADV Bets Down.tab as an additional source of Game Hooks
#    Fixed the Statue/Idol calling code discrepancies
#    Cleaned up miscellaneous display code
#
# Modified by Valminder, Dec 2005.
#    [ADV Random Tombs.GenerateTomb(,1)] was added.
#    Modified [ENC Short Encounter Generator.Start] line since
#       I modified the "Short Encounter" table
#    Added parameter to Choose Core Gods (from PH) or gods from
#       [Religion.Deities]. The default is [Religion.Deities].
#
# Modified by Larry Cormier, Jan 2006
#    Added Specialized Monster Encounter coding for:
#       Sphinxes and Witches (Hags) 
#    Added Link and associated code to permit the use of:
#       MAP Clearings.tab
#       MAP Ruins.tab
#       MAP Buildings.tab
#       SITE City Buildings.tab
#
# Modified by Valminder, July 2006.
#    Added "OverRideRolls"
#    

/OverRideRolls 1
:Person
1,adventurer |SoughtFlag=1||SoughtClass={Dice~1d11}|
2,explorer |SoughtFlag=1||SoughtClass={Dice~1d11}| 
3,Noble |SoughtFlag=1||SoughtClass={Dice~1d11}|
4,[Chanceof]{If~%Chance%<25 ? young} child
5,friend |SoughtFlag=1|
6,[ReligiousFigures] 
7,scholar |SoughtFlag=1|
8,military officer |SoughtFlag=1||SoughtClass=1| 
9,Politician |SoughtFlag=1|
10,Merchant |SoughtFlag=1|
11,Government Official |SoughtFlag=1|
12,Seer |SoughtFlag=1|
13,Scholar |SoughtFlag=1|

:MysteriousFigures
1,Seer|OracleFlag=1|
2,Psychic|OracleFlag=2|
3,Soothsayer|OracleFlag=3|
4,Fortune Teller|OracleFlag=4|
5,Prophet|OracleFlag=5|
6,Oracle|OracleFlag=6|
7,Mystic|OracleFlag=7|
8,Diviner
9,Sibyl
10,Medium
11,Shaman
12,Sage

:Artifact
# Magical Artifact
1,|ArtifactFlag=1|
# Mundane Artifact
2,|ArtifactFlag=2|

:Mundane Artifact
1,Legendary Cross </i>that was last seen by [ReligiousFigures] [Chanceof]{If~%Chance%<25 ? |Gender=2|/|Gender=1|}[Names Branch=1]
2,Kings Armor |SwordFlag=1|[Chanceof]{If~%Chance%<25 ? |Gender=2|/|Gender=1|}</i>(King's Name: [Names Branch=1])
3,King's Sword |SwordFlag=1|[Chanceof]{If~%Chance%<25 ? |Gender=2|/|Gender=1|}</i>(King's Name: [Names Branch=1])
4,Legendary Hero's Sword |SwordFlag=1|[Chanceof]{If~%Chance%<25 ? |Gender=2|/|Gender=1|}</i>(Hero's Name: [Names Branch=1])
5,Legendary Hero's Armor [Chanceof]{If~%Chance%<25 ? |Gender=2|/|Gender=1|}</i>(Hero's Name: [Names Branch=1])

:ReligiousFigures
1,Pope
2,Saint
3,Cardinal
4,Bishop
5,Apostle
6,Monsignor
7,Father
8,Vicar
9,Abbott

:Magical Artifact
1,Book of Exhalted deeds
2,Book of Infinite Spells
3,Book of Vile Darkness
4,Deck of Many Things
5,Hammer of Thunderbolts
6,Philosopher's Stone
7,Sphere of Anihilation
8,Talisman of the Sphere
9,Staff of the Magi
10,Talisman of Pure Good
11,Talisman of Ultimate Evil
12,Talisman of Zagy
13,Hand of Vecna
14,Eye of Vecna
15,Mace of Cuthbert
16,Moaning Diamond
17,Orb of Dragonkind
18,Shadowstaff
19,Shield of Prator
20,Sword of Kas
21,section of the Rod of Seven Parts
22,Intelligent Sword |SwordFlag=1|

:Do What
1,find {AorAn~[Search Object]} [Where]
2,protect {AorAn~[Protect Object]} in [Where] from [Attackers]
3,steal {AorAn~[Thing]} from {AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}| in [Where]
4,capture {AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}| in [Where]
5,assassinate {AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}| in [Where]
6,transport {AorAn~[Thing]} from [Where] to [Where]
7,destroy {AorAn~[Destroy Object]} in [Where]
8,escort {AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}| from [Where] to [Where]
9,deceive {AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}| about [Deception]
10,transport {AorAn~[Thing]} to [Where]

:Deception
1,{AorAn~[Search Object]} [Where]
2,[Attackers]
3,{AorAn~[Person]} |SoughtFlag=1||SoughtClass={Dice~1d11}|  
4,[Where]

:Search Object
1,stolen [Thing] in
2,[Thing] lost in
3,hidden [Place] [Chanceof]{If~%Chance% < 50 ? in/ near}
4,mystic [Place] [Chanceof]{If~%Chance% < 50 ? in/ near}
5,legendary [Thing] in
6,rare [Wild_Animal] near
7,missing [Person] |SoughtFlag=1||SoughtClass={Dice~1d11}| last seen in

:Where
1-10,the current location
11-100,the [Settlement]

:Settlement
1,wilderness near [Town Names.Generate]|ClearingFlag=2|
2,hamlet of [Town Names.Generate]|ClearingFlag=3|
3,village of [Town Names.Generate]|ClearingFlag=3|
4,small town of [Town Names.Generate]|ClearingFlag=3|
5,town of [Town Names.Generate]|ClearingFlag=3|
6,city of [Town Names.Generate]|ClearingFlag=3|
7,[Structure] near [Town Names.Generate]

:Wild_Animal
1,[Chanceof]{If~%Chance% < 30 ? grizzly/ dire|MonsterID=39|} bear
2,[Chanceof]{If~%Chance% < 50 ? brown|MonsterID=38|/ black|MonsterID=37|} bear
3,Wolf|MonsterID=391|
4,Lion|MonsterID=231|
5,Boar|MonsterID=52|
6,Cheetah|MonsterID=71|
7,Bison|MonsterID=46|
8,Wild Dog|MonsterID=99|
9,Crocodile|MonsterID=83|
10,Badger|MonsterID=27|
11,Hyena|MonsterID=211|
12,Leopard|MonsterID=228|
13,Rhinocerous|MonsterID=310|
14,Tiger|MonsterID=352|
15,Weasel|MonsterID=377|
16,Wolverine|MonsterID=393|

;FavoriteMonstersBranch
# Annis Hag
1,|MonsterID=13|
# Basilisk
1,|MonsterID=34|
# Black Bear
1,|MonsterID=37|
# Brown Bear
1,|MonsterID=38|
# Bugbear
1,|MonsterID=59|
# Dire Bear
1,|MonsterID=39|
# Dire Weasel
1,|MonsterID=378|
# Dire Wolf
1,|MonsterID=392|
# Ettin
1,|MonsterID=128|
# Fire Giant
1,|MonsterID=131|
# Ghast
1,|MonsterID=145|
# Ghoul
1,|MonsterID=147|
# Goblin
1,|MonsterID=169|
# Green Hag
1,|MonsterID=179|
# Grimlock
1,|MonsterID=184|
# Harpy
1,|MonsterID=194|
# Hell Hound
1,|MonsterID=196|
# Hill Giant
1,|MonsterID=201|
# Hobgoblin
1,|MonsterID=203|
# Hyena
1,|MonsterID=211|
# Kobold
1,|MonsterID=218|
# Leopard
1,|MonsterID=228|
# Lion
1,|MonsterID=231|
# Medusa
1,|MonsterID=242|
# Mind Flayer
1,|MonsterID=248|
# Monitor Lizard
1,|MonsterID=252|
# Mummy
1,|MonsterID=259|
# Night Hag
1,|MonsterID=264|
# Nightmare
1,|MonsterID=266|
# Ogre Mage
1,|MonsterID=276|
# Ogre
1,|MonsterID=274|
# Orc
1,|MonsterID=279|
# Owlbear
1,|MonsterID=284|
# Sea Hag
1,|MonsterID=319|
# Skeleton
1,|MonsterID=329|
# Spectre
1,|MonsterID=334|
# Spider Eater
1,|MonsterID=335|
# Stone Giant
1,|MonsterID=341|
# Stone Golem
1,|MonsterID=342|
# Troglodyte
1,|MonsterID=360|
# Troll
1,|MonsterID=361|
# Werewolf
1,|MonsterID=383|
# Wight
1,|MonsterID=387|
# Wild Dog
1,|MonsterID=99|
# Wolverine
1,|MonsterID=393|
# Wolf
1,|MonsterID=391|
# Worg
1,|MonsterID=396|
# Wraith
1,|MonsterID=397|
# Wyvern
1,|MonsterID=398|
# Zombie
1,|MonsterID=404|

:Protect Object
1-2,[Person] |SoughtFlag=1||SoughtClass={Dice~1d11}| 
3-4,[Place]
5-6,[Thing]

:Attackers
1,thieves
2,Discovered
3,adventurers
4,monsters
5,a villain
6,an enemy army
7,an assassin

:Destroy Object
1-3,[Thing]
4-5,[Structure]
6,[Person] |SoughtFlag=1|

:MeleeWeapons
# Simple Weapons
1,dagger
2,punching dagger
3,spiked gauntlet
4,light mace
5,sickle
6,club
7,halfspear
8,heavy mace
9,morningstar
10,quarterstaff
11,shortspear
# Martial Weapons
12,throwing axe
13,light hammer
14,hand axe
15,light lance
16,light pick
17,sap
18,short sword |SwordFlag=1|
19,battle axe
20,light flail
21,heavy lance
22,long sword |SwordFlag=1|
23,heavy pick
24,rapier
25,scimitar
26,trident
27,warhammer
28,falchion
29,heavy flail
30,glaive
31,greataxe
32,greatclub
33,greatsword |SwordFlag=1|
34,guisarme
35,halberd
36,longspear
37,ranseur
38,scythe
# Exotic Weapons
39,halfling kama
40,kukri
41,halfling nunchaku
42,halfling siangham
43,kama
44,nunchaku
45,siangham
46,bastard sword |SwordFlag=1|
47,dwarven waraxe
48,gnome hooked hammer
49,orc double axe
50,spiked chain
51,dire flail
52,two-bladed sword |SwordFlag=1|
53,dwarven urgrosh

:RangeWeapons
# Simple Ranged Weapons
1,light crossbow
2,darts
3,sling
4,heavy crossbow
5,javelin
# Martial Ranged Weapons
6,dagger
7,thowing dagger
8,longspear
9,throwing axe
10,short bow
11,composite short bow
12,long bow
13,composite long bow
# Exotic Ranged Weapons
14,hand crossbow
15,shurikens
16,whip
17,repeating crossbow

:Names Branch
1,{If~%Gender% = 1 ? [Names Generator.NAME Human Male]/[Names Generator.NAME Human Female]}
2,{If~%Gender% = 1 ? [Names Generator.NAME Dwarf Male]/[Names Generator.NAME Dwarf Female]}
3,[Names Generator.NAME Elf]
4,{If~%Gender% = 1 ? [Names Generator.NAME Gnome Male]/[Names Generator.NAME Gnome Female]}
5,|TempNumber={Dice~1d100}|{If~%TempNumber% > 75 ? {If~%Gender% = 1 ? [Names Generator.NAME Human Male]/
_[Names Generator.NAME Human Female]}/[Names Generator.NAME Elf]}
6,|TempNumber={Dice~1d100}|{If~%TempNumber% > 75 ? {If~%Gender% = 1 ? [Names Generator.NAME Human Male]/
_[Names Generator.NAME Human Female]}/[Names Generator.NAME Orc]}
7,{If~%Gender% = 1 ? [Names Generator.NAME Halfling Male]/[Names Generator.NAME Halfling Female]}

:Gender
1,Male
2,Female

:Race
1,Human
2,Dwarf
3,Elf
4,Gnome
5,Half-Elf
6,Half-Orc
7,Halfling

:Class
1,Bard
2,Barbarian
3,Cleric
4,Druid
5,Fighter
6,Monk
7,Paladin
8,Ranger
9,Rogue
10,Sorcerer
11,Wizard
